,userId,itemId,rating,timestamp
18789,168,742,5,884287362
52294,794,118,2,891035413
34573,470,137,3,879178406
19376,114,179,5,881260611
13899,249,216,4,879641305
97082,452,213,4,875265265
56355,805,200,5,881695244
5509,254,625,3,886473808
53265,745,8,4,880123627
99304,624,1114,4,879792557
58344,158,175,4,880135044
7584,286,325,1,889651253
97799,551,233,4,892784259
2544,14,530,5,890881433
24362,95,596,2,879193651
38020,606,258,4,887058788
95122,943,431,4,888639724
66396,889,520,4,880179756
10329,271,402,4,885849791
96799,916,98,5,880844038
78364,758,252,3,880672830
70433,896,168,4,887158738
12560,157,1283,2,886891173
25026,286,924,4,876521773
17252,426,608,4,879444081
63959,894,1016,3,879896920
13737,303,651,5,879468021
28319,405,41,1,885547735
59374,805,1170,5,881700749
44474,450,316,4,889568753
65666,663,508,4,889492503
61574,505,692,3,889334583
54914,790,29,2,885158082
27772,279,978,1,889231898
28630,542,206,2,886532602
54161,804,49,2,879447476
45782,60,393,4,883327754
59973,682,455,4,888521866
21546,416,723,4,886318827
13864,136,100,5,882693338
98478,835,98,5,891034401
39221,533,210,5,879191401
51288,52,302,4,882922065
38408,532,526,5,893119415
1410,298,1346,3,884126061
68890,472,366,4,892790952
9025,295,1135,4,879518696
17553,405,1248,1,885548633
35062,615,517,5,879449068
5764,291,552,3,874834963
15277,250,240,4,878092171
87591,798,1003,3,875639478
60147,757,128,3,888466490
83580,916,697,4,880844937
42479,373,169,5,877099016
72655,694,451,4,875729068
60406,622,206,1,882670899
97948,577,826,4,880470852
77509,796,293,5,892660251
70398,488,294,4,891293606
53236,194,651,3,879520991
9161,92,376,3,875907366
34498,453,367,2,888202813
37857,621,72,2,874962900
69705,901,144,5,877288015
70088,724,286,1,883758268
41791,632,68,1,879459394
24586,222,228,5,878181869
130,224,245,3,888082216
38157,592,1319,1,882608234
52042,664,504,4,876526518
36957,478,28,3,889395655
68291,551,128,4,892783829
33421,387,197,2,886483824
62266,436,1053,4,887771853
28489,268,1091,2,875744895
81955,760,111,4,875666242
12106,109,68,3,880582469
93240,873,875,1,891392577
79193,880,258,4,880166499
63958,761,476,2,876190468
95707,788,511,5,880868277
44888,189,178,5,893265191
74923,940,89,4,885921828
1048,201,432,3,884111312
88391,456,94,3,881375482
66994,59,603,5,888204309
6156,188,628,5,875074200
21117,117,748,3,880124378
84993,783,292,4,884326382
90086,889,405,2,880177567
77496,897,840,3,879993887
68262,748,425,4,879454773
3874,222,939,3,878182211
92773,716,193,5,879796596
65236,806,475,4,882385083
20571,324,872,5,880575045
82604,858,333,4,880933013
4013,303,460,4,879543600
49318,751,305,2,887134730
24038,493,431,5,884132037
72327,462,655,5,886365467
21458,311,323,3,884364139
42390,59,313,5,888202532
53891,630,1055,3,885667898
50751,650,99,4,891372365
89675,698,228,3,886367442
23751,447,183,5,878856394
2828,78,412,4,879634223
11622,321,213,4,879440109
80305,660,1065,2,891201049
29106,256,794,4,882165135
85658,651,995,1,880126547
46277,365,476,4,891304278
48636,536,213,5,882360704
23720,463,864,3,890530351
80889,883,519,5,891717283
23201,242,1,4,879740362
7949,318,305,2,884470682
22960,470,1097,3,879178487
91272,916,97,4,880844789
15041,194,144,4,879547671
68296,650,152,3,891382138
95186,868,589,4,877106421
17315,6,189,3,883601365
2930,256,819,4,882151052
41737,99,173,4,885680062
81158,919,681,2,875920347
51900,592,122,4,882608960
73000,716,174,5,879795025
12136,339,126,4,891032121
75558,207,538,2,880853139
37331,307,28,3,877119480
61534,454,610,3,881959576
46504,620,674,3,889987586
6904,345,121,3,884991384
95837,896,435,4,887158579
58349,506,568,5,889979761
71793,648,1041,3,884882192
32689,532,66,5,893118712
33974,136,116,5,882693723
91034,868,429,2,877103834
27295,378,1048,2,880333851
41948,271,603,4,885848802
26791,452,1427,5,885816768
95801,707,692,4,886286092
49642,450,396,2,882469941
59705,753,462,4,891401510
88550,709,288,5,879847945
58837,661,684,3,888299899
60363,301,481,4,882075827
32848,31,319,4,881547788
25892,94,268,4,891724925
21080,450,494,3,882373385
7237,323,100,4,878739177
22826,177,693,4,880130653
91238,907,50,4,880158692
62717,805,151,5,881705810
8027,247,272,4,893081381
74739,276,316,4,892436314
31045,305,941,2,886324792
21273,344,7,4,884814668
52014,504,291,4,887832043
65028,804,472,3,879443976
91832,773,324,3,888538269
94958,393,575,2,889728712
79940,936,275,4,886832134
8266,117,358,4,880124509
48558,392,303,4,891037437
21793,373,715,2,877105075
63963,322,505,4,887314119
93446,936,294,3,886831679
43557,532,559,5,892859148
47469,405,438,1,885548384
90578,329,322,3,891655570
13121,164,333,5,889401383
83454,875,56,5,876466687
6963,90,323,3,891382634
44745,125,117,3,879454699
48346,194,1410,2,879553404
62832,864,13,4,877214125
83429,478,708,3,889397239
59601,655,1071,2,888984293
30696,479,288,3,879459836
44684,671,53,3,884034800
18726,387,69,3,886480413
36477,601,496,4,876349302
73357,417,49,3,880951737
93830,580,3,5,884125916
46292,416,476,5,893213796
54158,138,45,5,879024232
81735,847,25,3,878775796
23891,95,1091,3,880572658
96662,932,82,3,891251246
56082,699,597,3,884152570
64415,820,301,2,887955046
225,194,181,3,879521396
31371,29,300,3,882820897
40977,328,204,3,885045993
68646,159,130,1,880557322
42872,299,531,3,877880350
13437,16,300,5,877717078
32139,83,111,3,884647519
70341,458,1,4,886394423
55855,201,715,4,884140382
24746,436,96,4,887769535
698,134,323,4,891732335
78014,608,479,5,880404636
33754,548,760,3,891416049
93614,919,64,5,875374088
94513,224,126,3,888103704
23042,478,684,4,889396531
79204,59,567,4,888206562
35542,109,174,5,880572721
70403,886,230,2,876033106
17133,394,1079,3,881059148
12732,374,952,2,883627906
13258,201,670,4,884112673
477,189,1060,5,893264301
95207,880,1035,4,880242933
71756,731,606,3,886182366
42527,665,177,3,884294374
63676,852,515,5,891036414
77738,622,625,3,882671120
2312,69,300,3,882027204
6036,280,566,4,891701188
59868,545,202,4,879900388
18985,330,527,3,876546071
34007,392,1258,1,891038247
85025,603,89,5,891956825
11668,130,496,5,875216593
17302,406,181,5,879445859
875,230,1444,2,880485726
46651,615,275,4,879447872
71010,524,126,4,884323427
46834,13,561,1,882396914
64731,409,357,5,881107410
77973,533,393,4,879192069
34302,16,208,5,877727054
18183,342,508,3,874984810
86023,915,347,5,891031477
21363,265,323,3,875320112
26466,344,405,2,884900353
31938,514,243,2,885181043
32932,208,517,3,883108398
9452,31,321,4,881547746
79024,144,455,3,888104382
92335,707,242,4,879439088
45921,128,490,5,879966785
17298,58,216,3,884305338
22683,471,99,2,889827918
93657,181,1317,1,878962086
32638,10,462,3,877891747
50267,547,345,5,891282555
23805,16,143,5,877727192
10406,361,709,5,879440974
81357,770,222,4,875973686
9521,89,716,3,879460027
65043,736,1278,1,878709262
31763,188,97,5,875071891
2901,7,93,5,891351042
37920,110,1222,2,886989191
34279,118,98,5,875384979
59657,838,1115,4,887064476
67571,943,111,4,875502192
39843,655,53,2,887429812
63352,830,523,4,891898661
51381,389,205,4,880165939
41765,472,548,1,875982867
18917,429,410,4,882387451
77423,870,6,4,875680311
9842,308,45,4,887736843
61060,548,257,5,891044304
90429,737,160,4,884314881
48670,407,209,5,875042378
82686,900,602,1,877834025
61204,775,345,5,891032895
73898,902,294,2,879463212
58322,758,434,3,881976233
52925,679,69,4,884487688
31384,56,173,4,892737191
79432,543,249,2,888209667
65224,790,436,4,885156686
63259,451,330,3,879012721
61702,886,175,4,876031550
96109,659,155,3,891386540
60437,684,225,3,875811341
97614,371,202,5,880435313
55524,741,241,4,891019625
48972,707,151,4,880059810
51234,734,143,5,891022958
64126,507,597,5,889966089
74009,291,785,4,875086308
19591,144,195,5,888105081
39781,537,649,3,886031720
58955,743,222,4,881277962
59307,338,523,3,879438366
7333,325,181,4,891478160
87247,782,316,4,891498436
70520,522,205,4,876961020
98798,682,717,3,888521090
34437,493,687,1,884130055
65947,724,301,4,883757670
29950,5,416,1,875721196
86878,695,289,2,888806150
27693,325,1232,1,891479228
5787,56,31,4,892679259
85625,258,326,5,885701024
7830,363,102,4,891498681
82340,903,47,5,891033522
39878,625,166,3,891960843
68365,690,585,2,881177970
144,13,836,2,882139746
68990,835,357,5,891033232
52291,795,172,3,880570209
39421,622,373,1,882672922
98272,213,125,5,878955295
30071,453,471,4,888205557
82073,720,321,4,891262762
53527,449,285,5,879958572
70003,524,582,3,884635326
57422,747,588,5,888639989
62666,878,655,3,880866687
3097,151,481,3,879524669
24334,503,181,5,879438319
98703,655,1643,5,887611511
6061,188,211,4,875075062
17688,437,173,4,881001023
72326,934,388,3,891197678
54175,586,127,4,884057313
99336,148,194,5,877015066
73389,675,286,4,889488431
81612,843,7,5,879443297
50038,462,323,2,886365837
73498,478,946,2,889396917
70550,709,578,4,879848645
